"","site_id","site_name","year","latitude","longitude","benzene"
"1","gib1","Rosia Road",2005,36.133317,-5.353175,2.3
"2","gib1","Rosia Road",2006,36.133317,-5.353175,2.7
"3","gib1","Rosia Road",2007,36.133317,-5.353175,2.4
"4","gib1","Rosia Road",2008,36.133317,-5.353175,1.7
"5","gib1","Rosia Road",2009,36.133317,-5.353175,1.6
"6","gib1","Rosia Road",2010,36.133317,-5.353175,1.7
"7","gib1","Rosia Road",2011,36.133317,-5.353175,1.8
"8","gib1","Rosia Road",2012,36.133317,-5.353175,1.7
"9","gib1","Rosia Road",2013,36.133317,-5.353175,1.6
"10","gib1","Rosia Road",2014,36.133317,-5.353175,1.6
"11","gib1","Rosia Road",2015,36.133317,-5.353175,1.9
"12","gib1","Rosia Road",2016,36.133317,-5.353175,1.8
"13","gib15","Catalan Bay Road",2005,36.142964,-5.340263,0.7
"14","gib15","Catalan Bay Road",2006,36.142964,-5.340263,1
"15","gib15","Catalan Bay Road",2007,36.142964,-5.340263,1
"16","gib15","Catalan Bay Road",2008,36.142964,-5.340263,0.7
"17","gib15","Catalan Bay Road",2009,36.142964,-5.340263,0.6
"18","gib15","Catalan Bay Road",2010,36.142964,-5.340263,0.6
"19","gib15","Catalan Bay Road",2011,36.142964,-5.340263,2.5
"20","gib15","Catalan Bay Road",2012,36.142964,-5.340263,0.6
"21","gib15","Catalan Bay Road",2013,36.142964,-5.340263,0.8
"22","gib15","Catalan Bay Road",2014,36.142964,-5.340263,0.7
"23","gib15","Catalan Bay Road",2015,36.142964,-5.340263,0.9
"24","gib15","Catalan Bay Road",2016,36.142964,-5.340263,1
"25","gib16","Laguna Estate",2005,36.14569,-5.35057,1.4
"26","gib16","Laguna Estate",2006,36.14569,-5.35057,2.6
"27","gib16","Laguna Estate",2007,36.14569,-5.35057,1.6
"28","gib16","Laguna Estate",2008,36.14569,-5.35057,1.1
"29","gib16","Laguna Estate",2009,36.14569,-5.35057,1
"30","gib16","Laguna Estate",2010,36.14569,-5.35057,1.1
"31","gib16","Laguna Estate",2011,36.14569,-5.35057,0.8
"32","gib16","Laguna Estate",2012,36.14569,-5.35057,0.7
"33","gib16","Laguna Estate",2013,36.14569,-5.35057,0.9
"34","gib16","Laguna Estate",2014,36.14569,-5.35057,0.9
"35","gib16","Laguna Estate",2015,36.14569,-5.35057,0.9
"36","gib16","Laguna Estate",2016,36.14569,-5.35057,1.1
"37","gib17","Kings Lines Fuel Depot",2005,36.14593,-5.35123,2
"38","gib17","Kings Lines Fuel Depot",2006,36.14593,-5.35123,2.1
"39","gib17","Kings Lines Fuel Depot",2007,36.14593,-5.35123,1.7
"40","gib17","Kings Lines Fuel Depot",2008,36.14593,-5.35123,1.4
"41","gib17","Kings Lines Fuel Depot",2009,36.14593,-5.35123,1.2
"42","gib17","Kings Lines Fuel Depot",2010,36.14593,-5.35123,1.6
"43","gib17","Kings Lines Fuel Depot",2011,36.14593,-5.35123,1
"44","gib17","Kings Lines Fuel Depot",2012,36.14593,-5.35123,0.9
"45","gib17","Kings Lines Fuel Depot",2013,36.14593,-5.35123,1.2
"46","gib17","Kings Lines Fuel Depot",2014,36.14593,-5.35123,0.9
"47","gib17","Kings Lines Fuel Depot",2015,36.14593,-5.35123,1.2
"48","gib17","Kings Lines Fuel Depot",2016,36.14593,-5.35123,1.2
"49","gib18","Moorish Castle Estate",2005,36.14422,-5.3508,1.1
"50","gib18","Moorish Castle Estate",2006,36.14422,-5.3508,1.4
"51","gib18","Moorish Castle Estate",2007,36.14422,-5.3508,1.6
"52","gib18","Moorish Castle Estate",2008,36.14422,-5.3508,1.2
"53","gib18","Moorish Castle Estate",2009,36.14422,-5.3508,1
"54","gib18","Moorish Castle Estate",2010,36.14422,-5.3508,1.2
"55","gib18","Moorish Castle Estate",2011,36.14422,-5.3508,0.5
"56","gib18","Moorish Castle Estate",2012,36.14422,-5.3508,1
"57","gib18","Moorish Castle Estate",2013,36.14422,-5.3508,1
"58","gib18","Moorish Castle Estate",2014,36.14422,-5.3508,1.1
"59","gib18","Moorish Castle Estate",2015,36.14422,-5.3508,1.1
"60","gib18","Moorish Castle Estate",2016,36.14422,-5.3508,1.2
"61","gib19","North Mole",2005,36.14842,-5.36164,1.6
"62","gib19","North Mole",2006,36.14842,-5.36164,2.9
"63","gib19","North Mole",2007,36.14842,-5.36164,3.2
"64","gib19","North Mole",2008,36.14842,-5.36164,1.6
"65","gib19","North Mole",2009,36.14842,-5.36164,1.4
"66","gib19","North Mole",2010,36.14842,-5.36164,1.6
"67","gib19","North Mole",2011,36.14842,-5.36164,0.9
"68","gib19","North Mole",2012,36.14842,-5.36164,1.2
"69","gib19","North Mole",2013,36.14842,-5.36164,1.3
"70","gib19","North Mole",2014,36.14842,-5.36164,1
"71","gib19","North Mole",2015,36.14842,-5.36164,1.5
"72","gib19","North Mole",2016,36.14842,-5.36164,1.6
"73","gib2","Bleak House",2005,36.112824,-5.350188,0.8
"74","gib2","Bleak House",2006,36.112824,-5.350188,0.8
"75","gib2","Bleak House",2007,36.112824,-5.350188,1.2
"76","gib2","Bleak House",2008,36.112824,-5.350188,0.8
"77","gib2","Bleak House",2009,36.112824,-5.350188,0.7
"78","gib2","Bleak House",2010,36.112824,-5.350188,0.9
"79","gib2","Bleak House",2011,36.112824,-5.350188,0.7
"80","gib2","Bleak House",2012,36.112824,-5.350188,0.7
"81","gib2","Bleak House",2013,36.112824,-5.350188,0.7
"82","gib2","Bleak House",2014,36.112824,-5.350188,0.6
"83","gib2","Bleak House",2015,36.112824,-5.350188,0.7
"84","gib2","Bleak House",2016,36.112824,-5.350188,1
"85","gib20","Sundial Roundabout",2007,36.148754,-5.34956,2.7
"86","gib20","Sundial Roundabout",2008,36.148754,-5.34956,2.1
"87","gib20","Sundial Roundabout",2009,36.148754,-5.34956,1.8
"88","gib20","Sundial Roundabout",2010,36.148754,-5.34956,2.2
"89","gib20","Sundial Roundabout",2011,36.148754,-5.34956,1.7
"90","gib20","Sundial Roundabout",2012,36.148754,-5.34956,1.7
"91","gib20","Sundial Roundabout",2013,36.148754,-5.34956,1.9
"92","gib20","Sundial Roundabout",2014,36.148754,-5.34956,1.7
"93","gib20","Sundial Roundabout",2015,36.148754,-5.34956,2.1
"94","gib20","Sundial Roundabout",2016,36.148754,-5.34956,2
"95","gib21","Anchorage Rosia Road",2007,36.123528,-5.353585,1.7
"96","gib21","Anchorage Rosia Road",2008,36.123528,-5.353585,1.4
"97","gib21","Anchorage Rosia Road",2009,36.123528,-5.353585,1.1
"98","gib21","Anchorage Rosia Road",2010,36.123528,-5.353585,1.4
"99","gib21","Anchorage Rosia Road",2011,36.123528,-5.353585,1
"100","gib21","Anchorage Rosia Road",2012,36.123528,-5.353585,0.7
"101","gib21","Anchorage Rosia Road",2013,36.123528,-5.353585,1
"102","gib21","Anchorage Rosia Road",2014,36.123528,-5.353585,1
"103","gib21","Anchorage Rosia Road",2015,36.123528,-5.353585,1.2
"104","gib21","Anchorage Rosia Road",2016,36.123528,-5.353585,4.1
"105","gib3","Jumpers",2005,36.128969,-5.352105,2
"106","gib3","Jumpers",2006,36.128969,-5.352105,2.3
"107","gib3","Jumpers",2007,36.128969,-5.352105,2
"108","gib3","Jumpers",2008,36.128969,-5.352105,1.7
"109","gib3","Jumpers",2009,36.128969,-5.352105,1.4
"110","gib3","Jumpers",2010,36.128969,-5.352105,1.6
"111","gib3","Jumpers",2011,36.128969,-5.352105,1.4
"112","gib3","Jumpers",2012,36.128969,-5.352105,1.8
"113","gib3","Jumpers",2013,36.128969,-5.352105,1.5
"114","gib3","Jumpers",2014,36.128969,-5.352105,1.4
"115","gib3","Jumpers",2015,36.128969,-5.352105,1.5
"116","gib3","Jumpers",2016,36.128969,-5.352105,1.7
"117","gib30","Governors Meadow House",2007,36.13022,-5.352562,1.4
"118","gib30","Governors Meadow House",2008,36.13022,-5.352562,1.1
"119","gib30","Governors Meadow House",2009,36.13022,-5.352562,1
"120","gib30","Governors Meadow House",2010,36.13022,-5.352562,1.5
"121","gib30","Governors Meadow House",2011,36.13022,-5.352562,0.9
"122","gib30","Governors Meadow House",2012,36.13022,-5.352562,1.2
"123","gib30","Governors Meadow House",2013,36.13022,-5.352562,1
"124","gib30","Governors Meadow House",2014,36.13022,-5.352562,1.1
"125","gib30","Governors Meadow House",2015,36.13022,-5.352562,1
"126","gib30","Governors Meadow House",2016,36.13022,-5.352562,0.9
"127","gib4","Devils Tower Road",2005,36.146991,-5.344171,2.5
"128","gib4","Devils Tower Road",2006,36.146991,-5.344171,2.7
"129","gib4","Devils Tower Road",2007,36.146991,-5.344171,2.2
"130","gib4","Devils Tower Road",2008,36.146991,-5.344171,1.7
"131","gib4","Devils Tower Road",2009,36.146991,-5.344171,1.4
"132","gib4","Devils Tower Road",2010,36.146991,-5.344171,1.9
"133","gib4","Devils Tower Road",2011,36.146991,-5.344171,0.7
"134","gib4","Devils Tower Road",2012,36.146991,-5.344171,0.7
"135","gib4","Devils Tower Road",2013,36.146991,-5.344171,0.9
"136","gib4","Devils Tower Road",2014,36.146991,-5.344171,0.6
"137","gib4","Devils Tower Road",2015,36.146991,-5.344171,0.9
"138","gib4","Devils Tower Road",2016,36.146991,-5.344171,1.2
"139","gib5","Glacis Road",2005,36.146315,-5.353284,3.7
"140","gib5","Glacis Road",2006,36.146315,-5.353284,3.5
"141","gib5","Glacis Road",2007,36.146315,-5.353284,2.7
"142","gib5","Glacis Road",2008,36.146315,-5.353284,2.2
"143","gib5","Glacis Road",2009,36.146315,-5.353284,1.9
"144","gib5","Glacis Road",2010,36.146315,-5.353284,2
"145","gib5","Glacis Road",2011,36.146315,-5.353284,1.3
"146","gib5","Glacis Road",2012,36.146315,-5.353284,1.3
"147","gib5","Glacis Road",2013,36.146315,-5.353284,1.8
"148","gib5","Glacis Road",2014,36.146315,-5.353284,1.6
"149","gib5","Glacis Road",2015,36.146315,-5.353284,1.9
"150","gib5","Glacis Road",2016,36.146315,-5.353284,0.3
"151","gib6","Queensway",2005,36.141443,-5.355986,3
"152","gib6","Queensway",2006,36.141443,-5.355986,3.3
"153","gib6","Queensway",2007,36.141443,-5.355986,3.1
"154","gib6","Queensway",2008,36.141443,-5.355986,1.6
"155","gib6","Queensway",2009,36.141443,-5.355986,1.2
"156","gib6","Queensway",2010,36.141443,-5.355986,1.3
"157","gib6","Queensway",2011,36.141443,-5.355986,1.2
"158","gib6","Queensway",2012,36.141443,-5.355986,1.5
"159","gib6","Queensway",2013,36.141443,-5.355986,1.6
"160","gib6","Queensway",2014,36.141443,-5.355986,1.3
"161","gib6","Queensway",2015,36.141443,-5.355986,1.8
"162","gib6","Queensway",2016,36.141443,-5.355986,1.4
"163","gib7","Harbour Views",2005,36.146002,-5.36131,1.4
"164","gib7","Harbour Views",2006,36.146002,-5.36131,1.8
"165","gib7","Harbour Views",2007,36.146002,-5.36131,2.1
"166","gib7","Harbour Views",2008,36.146002,-5.36131,1.4
"167","gib7","Harbour Views",2009,36.146002,-5.36131,1.2
"168","gib7","Harbour Views",2010,36.146002,-5.36131,1.4
"169","gib7","Harbour Views",2011,36.146002,-5.36131,1
"170","gib7","Harbour Views",2012,36.146002,-5.36131,0.7
"171","gib7","Harbour Views",2013,36.146002,-5.36131,1.4
"172","gib7","Harbour Views",2014,36.146002,-5.36131,0.8
"173","gib7","Harbour Views",2015,36.146002,-5.36131,1.1
"174","gib7","Harbour Views",2016,36.146002,-5.36131,1.2
